id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,disbursement_method,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term,loan_status_clean
,,24000,24000,24000.0, 60 months,11.98,533.63,B,B5,Operations Administrator,10+ years,MORTGAGE,68000.0,Source Verified,Apr-2018,Current,n,,,home_improvement,Home improvement,832xx,ID,22.38,0.0,Feb-1998,0.0,,,13.0,0.0,13964,60.5,27.0,w,20924.56,20924.56,5320.33,5320.33,3075.44,2244.89,0.0,0.0,0.0,Feb-2019,533.63,Mar-2019,Feb-2019,0.0,,1,Individual,,,,0.0,0.0,138804.0,1.0,2.0,1.0,1.0,9.0,14259.0,57.0,3.0,4.0,4823.0,59.0,23100.0,1.0,2.0,3.0,5.0,10677.0,4880.0,73.2,0.0,0.0,94.0,242.0,4.0,4.0,3.0,10.0,,8.0,,0.0,5.0,8.0,6.0,11.0,5.0,10.0,19.0,9.0,13.0,0.0,0.0,0.0,4.0,100.0,33.3,0.0,0.0,162614.0,28223.0,18200.0,25014.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,current
,,28000,28000,28000.0, 36 months,7.89,876.0,A,A5,Vice President of Safety,3 years,MORTGAGE,160000.0,Source Verified,Apr-2015,Charged Off,n,,,debt_consolidation,Debt consolidation,995xx,AK,9.53,1.0,Nov-1988,0.0,19.0,,13.0,0.0,41085,69.3,40.0,w,0.0,0.0,14865.95,14865.95,10870.05,2257.68,0.0,1738.22,312.8796,Jul-2016,876.0,,Feb-2017,0.0,,1,Individual,,,,0.0,202.0,382613.0,,,,,,,,,,,,59300.0,,,,3.0,31884.0,12799.0,71.6,0.0,0.0,128.0,317.0,3.0,3.0,4.0,15.0,34.0,,19.0,0.0,6.0,9.0,6.0,16.0,9.0,11.0,27.0,9.0,13.0,0.0,0.0,0.0,2.0,90.0,66.7,0.0,0.0,437000.0,45276.0,45000.0,4700.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,charged off
,,4250,4250,4250.0, 36 months,9.75,136.64,B,B3,,,MORTGAGE,95000.0,Verified,Feb-2016,Fully Paid,n,,,debt_consolidation,,956xx,CA,17.66,0.0,Sep-1979,1.0,42.0,,15.0,0.0,47660,64.3,37.0,w,0.0,0.0,4550.7706663336,4550.77,4250.0,300.77,0.0,0.0,0.0,Nov-2016,3462.25,,May-2018,0.0,,1,Individual,,,,0.0,0.0,663893.0,0.0,1.0,0.0,1.0,15.0,27700.0,86.0,0.0,0.0,16815.0,71.0,74100.0,2.0,7.0,1.0,2.0,44260.0,23445.0,65.0,0.0,0.0,139.0,302.0,32.0,15.0,6.0,32.0,,2.0,42.0,0.0,4.0,6.0,8.0,15.0,4.0,11.0,27.0,7.0,15.0,0.0,0.0,0.0,0.0,97.3,50.0,0.0,0.0,724824.0,75360.0,66900.0,32274.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,fully paid
,,30000,30000,30000.0, 60 months,26.31,903.73,E,E4,,< 1 year,MORTGAGE,75000.0,Source Verified,Dec-2018,Current,n,,,debt_consolidation,Debt consolidation,983xx,WA,27.37,1.0,Sep-2003,1.0,22.0,,15.0,0.0,19509,80.0,27.0,w,29502.65,29502.65,1719.76,1719.76,497.35,1222.41,0.0,0.0,0.0,Feb-2019,903.73,Mar-2019,Feb-2019,0.0,73.0,1,Individual,,,,0.0,5094.0,68326.0,2.0,5.0,1.0,1.0,5.0,48817.0,9.0,1.0,1.0,9265.0,61.0,24400.0,1.0,0.0,4.0,2.0,4880.0,1504.0,92.8,0.0,0.0,154.0,183.0,5.0,5.0,0.0,32.0,22.0,2.0,22.0,2.0,4.0,6.0,4.0,6.0,11.0,10.0,16.0,6.0,15.0,0.0,0.0,0.0,2.0,85.2,75.0,0.0,0.0,83081.0,68326.0,20900.0,58681.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,current
,,15000,15000,15000.0, 60 months,20.49,401.51,E,E4,Firefighter,10+ years,RENT,100000.0,Source Verified,Apr-2015,Current,n,,,debt_consolidation,Debt consolidation,853xx,AZ,9.35,0.0,Oct-1997,1.0,29.0,,4.0,0.0,11232,100.3,25.0,w,4963.67,4963.67,18435.31,18435.31,10036.33,8398.98,0.0,0.0,0.0,Feb-2019,401.51,Mar-2019,Feb-2019,0.0,29.0,1,Individual,,,,0.0,0.0,38776.0,,,,,,,,,,,,11200.0,,,,4.0,9694.0,0.0,101.7,0.0,0.0,167.0,210.0,11.0,11.0,4.0,13.0,,3.0,,1.0,2.0,3.0,2.0,2.0,10.0,3.0,11.0,3.0,4.0,0.0,0.0,0.0,3.0,100.0,100.0,0.0,0.0,42088.0,38776.0,6200.0,30888.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,current
,,15000,15000,15000.0, 36 months,8.49,473.45,B,B1,VP Store Manager,10+ years,RENT,87100.0,Source Verified,Jan-2016,Fully Paid,n,,,debt_consolidation,Debt consolidation,977xx,OR,10.71,2.0,Nov-1997,1.0,7.0,,11.0,0.0,10153,27.3,32.0,w,0.0,0.0,15616.35,15616.35,15000.0,616.35,0.0,0.0,0.0,Aug-2016,13263.25,,Oct-2016,0.0,7.0,1,Individual,,,,0.0,0.0,30516.0,1.0,1.0,1.0,1.0,8.0,20363.0,92.0,1.0,1.0,1447.0,51.0,37200.0,0.0,1.0,3.0,2.0,3052.0,26978.0,15.7,1.0,0.0,140.0,218.0,6.0,6.0,8.0,6.0,47.0,1.0,47.0,2.0,6.0,7.0,7.0,11.0,8.0,10.0,16.0,8.0,11.0,0.0,0.0,2.0,2.0,84.4,14.3,0.0,0.0,59428.0,30516.0,32000.0,22228.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,fully paid
,,15975,15975,15975.0, 60 months,17.99,405.58,D,D2,Risk Adjuster,3 years,MORTGAGE,52000.0,Not Verified,Dec-2016,Current,n,,,credit_card,Credit card refinancing,300xx,GA,9.58,0.0,Oct-1995,0.0,,,4.0,0.0,15520,99.5,8.0,w,10741.48,10741.48,10513.15,10513.15,5233.52,5279.63,0.0,0.0,0.0,Feb-2019,405.58,Mar-2019,Feb-2019,0.0,,1,Individual,,,,0.0,0.0,46408.0,0.0,0.0,0.0,0.0,65.0,0.0,,0.0,0.0,7859.0,100.0,15600.0,0.0,1.0,0.0,0.0,11602.0,80.0,99.5,0.0,0.0,65.0,254.0,44.0,44.0,1.0,44.0,,,,0.0,3.0,3.0,3.0,5.0,1.0,3.0,6.0,3.0,4.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,49250.0,15520.0,15600.0,0.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,current
,,15000,15000,15000.0, 60 months,17.97,380.66,D,D1,Healthcare Assistant,1 year,MORTGAGE,30000.0,Source Verified,Sep-2018,Current,n,,,medical,Medical expenses,787xx,TX,61.88,0.0,May-2005,0.0,,,5.0,0.0,39854,98.6,12.0,w,14196.1,14196.1,1970.69,1970.69,803.9,1166.79,0.0,0.0,0.0,Feb-2019,380.66,Mar-2019,Feb-2019,0.0,,1,Joint App,118000.0,17.18,Source Verified,0.0,0.0,350453.0,0.0,1.0,0.0,1.0,22.0,17911.0,76.0,0.0,0.0,23926.0,90.0,40400.0,2.0,1.0,0.0,1.0,70091.0,546.0,98.6,0.0,0.0,146.0,160.0,71.0,22.0,2.0,71.0,,22.0,,0.0,3.0,3.0,3.0,5.0,4.0,3.0,6.0,3.0,5.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,368436.0,57765.0,40400.0,23651.0,40726.0,May-2005,0.0,2.0,9.0,88.7,1.0,12.0,0.0,0.0,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,current
,,9000,9000,8950.0, 36 months,16.02,316.51,C,C5,TOWN ADMINISTRATOR,5 years,RENT,51722.0,Source Verified,Aug-2017,Current,n,,,debt_consolidation,Debt consolidation,054xx,VT,27.87,0.0,Dec-1997,0.0,78.0,,12.0,0.0,18377,94.2,22.0,f,5034.4,5006.43,5681.16,5649.6,3965.6,1715.56,0.0,0.0,0.0,Feb-2019,316.51,Mar-2019,Feb-2019,0.0,,1,Individual,,,,0.0,0.0,30102.0,0.0,3.0,0.0,2.0,18.0,11725.0,51.0,0.0,2.0,6470.0,71.0,19500.0,0.0,1.0,0.0,4.0,2509.0,23.0,99.9,0.0,0.0,126.0,236.0,13.0,13.0,0.0,13.0,,,,0.0,8.0,8.0,8.0,9.0,10.0,9.0,12.0,8.0,12.0,0.0,0.0,0.0,0.0,95.5,100.0,0.0,0.0,42393.0,30102.0,18400.0,22893.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,current
,,12000,12000,12000.0, 36 months,16.02,422.01,C,C5,Locator,< 1 year,MORTGAGE,50000.0,Source Verified,May-2017,Current,n,,,debt_consolidation,Debt consolidation,570xx,SD,24.32,0.0,Jan-2007,1.0,,45.0,7.0,3.0,6180,89.6,11.0,f,6051.92,6051.92,8493.75,8493.75,5948.08,2545.67,0.0,0.0,0.0,Feb-2019,422.01,Mar-2019,Feb-2019,0.0,,1,Joint App,125000.0,15.29,Source Verified,0.0,84.0,175552.0,2.0,2.0,1.0,2.0,5.0,43274.0,89.0,1.0,1.0,1999.0,89.0,6900.0,3.0,1.0,4.0,5.0,25079.0,405.0,88.1,0.0,0.0,124.0,38.0,6.0,5.0,2.0,31.0,,5.0,,0.0,2.0,4.0,2.0,2.0,5.0,4.0,4.0,4.0,7.0,0.0,0.0,0.0,4.0,100.0,100.0,3.0,0.0,183243.0,49454.0,3400.0,48797.0,11348.0,Nov-2004,1.0,2.0,12.0,87.6,6.0,5.0,0.0,0.0,64.0,N,,,,,,,,,,,,,,,Cash,N,,,,,,,current
,,40000,40000,40000.0, 60 months,14.08,932.39,C,C3,Teacher ,< 1 year,MORTGAGE,45000.0,Verified,Jul-2017,Late (31-120 days),n,,,debt_consolidation,Debt consolidation,734xx,OK,80.93,0.0,Jul-2003,0.0,,,23.0,0.0,101347,69.3,42.0,w,32998.81,32998.81,13969.89,13969.89,7001.19,6922.08,46.62,0.0,0.0,Feb-2019,979.01,Mar-2019,Feb-2019,0.0,,1,Joint App,220000.0,28.12,Verified,0.0,0.0,257207.0,1.0,2.0,1.0,1.0,9.0,60110.0,87.0,1.0,1.0,47647.0,73.0,142500.0,0.0,0.0,0.0,2.0,11691.0,26304.0,83.9,0.0,0.0,152.0,161.0,4.0,4.0,3.0,4.0,,,,0.0,8.0,10.0,11.0,14.0,11.0,19.0,28.0,11.0,23.0,0.0,0.0,0.0,2.0,100.0,54.5,0.0,0.0,380836.0,161457.0,120500.0,81969.0,62199.0,Jul-2003,0.0,3.0,14.0,80.6,5.0,13.0,0.0,0.0,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,late (31-120 days)
,,7050,7050,7050.0, 60 months,12.23,157.65,C,C1,,,OWN,33664.44,Not Verified,Jan-2011,Charged Off,n,,,credit_card,Loan,147xx,NY,17.4,0.0,Feb-1991,0.0,,,8.0,0.0,10859,82.3,12.0,f,0.0,0.0,630.6,630.6,346.05,280.15,0.0,4.4,0.0,May-2011,157.65,,Feb-2017,0.0,,1,Individual,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,charged off
,,14000,14000,14000.0, 60 months,20.99,378.67,E,E5,Financial Services Consultant Team Leade,1 year,RENT,74000.0,Source Verified,May-2015,Fully Paid,n,,,debt_consolidation,Debt consolidation,212xx,MD,15.03,0.0,Mar-2006,0.0,25.0,,18.0,0.0,3552,11.3,40.0,w,0.0,0.0,14766.03,14766.03,14000.0,766.03,0.0,0.0,0.0,Aug-2015,14049.5,,Sep-2018,0.0,,1,Individual,,,,0.0,0.0,49119.0,,,,,,,,,,,,31300.0,,,,16.0,2729.0,14598.0,15.1,0.0,0.0,40.0,49.0,1.0,1.0,0.0,5.0,25.0,4.0,25.0,0.0,2.0,4.0,6.0,9.0,6.0,15.0,33.0,4.0,18.0,0.0,0.0,0.0,11.0,97.4,0.0,0.0,0.0,81545.0,49119.0,17200.0,50245.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,fully paid
,,20000,20000,20000.0, 36 months,12.73,671.29,B,B5,Instrument Technician ,5 years,RENT,75000.0,Not Verified,Sep-2018,Current,n,,,debt_consolidation,Debt consolidation,212xx,MD,30.99,0.0,Aug-2003,0.0,45.0,,14.0,0.0,24765,79.9,23.0,w,17655.15,17655.15,3314.03,3314.03,2344.85,969.18,0.0,0.0,0.0,Feb-2019,671.29,Mar-2019,Feb-2019,0.0,,1,Individual,,,,0.0,0.0,86891.0,0.0,5.0,0.0,1.0,13.0,62126.0,65.0,0.0,3.0,5311.0,71.0,31000.0,0.0,0.0,1.0,4.0,6207.0,6242.0,77.9,0.0,0.0,157.0,181.0,22.0,13.0,0.0,22.0,45.0,12.0,45.0,0.0,7.0,8.0,8.0,9.0,12.0,9.0,11.0,8.0,14.0,0.0,0.0,0.0,0.0,91.3,50.0,0.0,0.0,127655.0,86891.0,28300.0,96655.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,DirectPay,N,,,,,,,current
